acid rain
advisory
air
airstream
arctic
arid
aridity
atmosphere
atmospheric
avalanche
baking
balmy
barometer
barometric
below freezing
below zero
biting
bitter
blasting
blazing
bleak
blistering
blizzard
blowing
blusterous
blustery
boiling
breeze
breezy
brisk
broiling
burning
bust 
calescent
calm
cap
celsius
chill
chilled
cirrus
clear
climate
close
cloud
cloudburst
clouds
cloudy
coastal
cold 
coldness
contrail
convergence
cool
corona
crisp
crummy
cutting
cyclone
damp
dew
doldrums
drizzle
drizzly
drought
dry
dust
el niño
evaporation
fahrenheit
fair
fevered
feverish
fiery
flaming
flash
flood
flurries
foehn
fog
forecast
fractus
freeze
freezing
freshet
frigid
frigidity
frog storm
front
frost
frosty
frozen
gale
gelid
glacial
glaciation
glaze
greenhouse effect
gust
gusty
hail
harsh
haze
hazy
heat
heated
hoar
hot
humid
humidity
hurricane
ice
icebox
iced
iciness
icy
incandescent
inclement
knot
knuckles
la nina
lake effect
lenticular
lightning
like an oven
mild
mist
misty
monsoon
muggy
nipping
nippy
nor'easter
numbed
numbing
on fire
oven like
oven-like
ozone
parching
partly cloudy
partly sunny
penetrating
permafrost
piercing
piping
polar
pressure
prevailing westerlies
prevailing wind
radar
radiation
rain
rainbow
rainy
raw
revolting
rime
roasting
sandstorm
santa ana
satellite
scalding
scattered clouds
scorching
scud clouds
sea
searing
season
seasonal
shear
shiver
shivering
shivery
shower
showery
siberian
sizzling
sky
sleet
sleety
smog
smoke
smoking
snow
snowburst
snowfall
snowflake
snowy
sounder
sounding
spray
squall
st. elmo's fire
steaming
steamy
stinging
storm
stormy
stuffy
sultry
summery
sunny
sweltering
sweltry
temperate
thaw
thermal
thunder
thunderstorm
thundery
tornado
torrid
trade winds
tropic
tropical
tropics
tropopause
troposphere 
trough
turbulence
twister
typhoon
unstable
updraft
visibility
volcanic ash
vortex
warm
warning
water
waterspout
wave
wavelength
weather
wet
whiteout
wind
wind shear
windchill
windward
windy
winter
wintry
