lemon curry
lemon glacier
lemon lime
lemon meringue
lemon yellow
licorice
liberty
light apricot
light blue
light brown
light carmine pink
light cobalt blue
light coral
light cornflower blue
light crimson
light cyan
light deep pink
light french beige
light fuchsia pink
light goldenrod yellow
light gray
light grayish magenta
light green
light hot pink
light khaki
light medium orchid
light moss green
light orchid
light pastel purple
light pink
light red ochre
light salmon
light salmon pink
light sea green
light sky blue
light slate gray
light steel blue
light taupe
light thulian pink
light yellow
lilac
lilac luster
lime
lime green
limerick
lincoln green
linen
lion
liseran purple
little boy blue
liver
liver chestnut
livid
lumber
lust
maastricht blue
macaroni and cheese
magenta
magenta haze
magenta-pink
magic mint
magic potion
magnolia
mahogany
maize
majorelle blue
malachite
manatee
mandarin
mango tango
mantis
mardi gras
marigold
maroon 
mauve
mauve taupe
mauvelous
maximum blue
maximum yellow
may green
maya blue
meat brown
medium aquamarine
medium blue
medium candy apple red
medium carmine
medium champagne
medium electric blue
medium jungle green
medium lavender magenta
medium orchid
medium persian blue
medium purple
medium red-violet
medium ruby
medium sea green
medium sky blue
medium slate blue
medium spring bud
medium spring green
medium taupe
medium turquoise
medium tuscan red
medium vermilion
medium violet-red
mellow apricot
mellow yellow
melon
metallic seaweed
metallic sunburst
metal pink
mexican pink
midnight
midnight blue
midnight green
mikado yellow
mimi pink
mindaro
ming
minion yellow
mint
mint cream
mint green
misty moss
misty rose
moccasin
mode beige
moonstone blue
mordant red 19
moss green
mountain meadow
mountbatten pink
msu green
mughal green
mulberry
mummy's tomb
mustard
myrtle green
mystic
mystic maroon
nadeshiko pink
napier green
naples yellow
navajo white
navy
navy purple
neon carrot
neon fuchsia
neon green
new car
new york pink
nickel
non-photo blue
north texas green
nyanza
ocean blue
ocean boat blue
ocean green
ochre
office green
ogre odor
old burgundy
old gold
old heliotrope
old lace
old lavender
old mauve
old moss green
old rose
old silver
olive
olive drab
olivine
onyx
opera mauve
orange
orange peel
orange-red
orange soda
orange-yellow
orchid
orchid pink
orioles orange
otter brown
outer space
outrageous orange
oxford blue
ou crimson red
pacific blue
pakistan green
palatinate blue
palatinate purple
pale aqua
pale blue
pale brown
pale carmine
pale cerulean
pale chestnut
pale copper
pale cornflower blue
pale cyan
pale gold
pale goldenrod
pale green
pale lavender
pale magenta
pale magenta-pink
pale pink
pale plum
pale red-violet
pale robin egg blue
pale silver
pale spring bud
pale taupe
pale turquoise
pale violet
pale violet-red
palm leaf
pansy purple
paolo veronese green
papaya whip
paradise pink
paris green
parrot pink
pastel blue
pastel brown
pastel gray
pastel green
pastel magenta
pastel orange
pastel pink
pastel purple
pastel red
pastel violet
pastel yellow
patriarch
payne's grey
peach
peach
peach-orange
peach puff
peach-yellow
pear
pearl
pearl aqua
pearly purple
peridot
periwinkle
permanent geranium lake
persian blue
persian green
persian indigo
persian orange
persian pink
persian plum
persian red
persian rose
persimmon
peru
pewter blue
phlox
phthalo blue
phthalo green
picton blue
pictorial carmine
piggy pink
pine green
pineapple
pink
pink (pantone)
pink flamingo
pink lace
pink lavender
pink-orange
pink pearl
pink raspberry
pink sherbet
pistachio
pixie powder
platinum
plum
plump purple
polished pine
pomp and power
popstar
portland orange
powder blue
princess perfume
princeton orange
prune
prussian blue
psychedelic purple
puce
puce red
pullman brown
pullman green
pumpkin
purple
purple heart
purple mountain majesty
purple navy
purple pizzazz
purple plum
purple taupe
purpureus
quartz
queen blue
queen pink
quick silver
quinacridone magenta
rackley
radical red
raisin black
rajah
raspberry
raspberry glace
raspberry pink
raspberry rose
raw sienna
raw umber
razzle dazzle rose
razzmatazz
razzmic berry
rebecca purple
red
red-brown
red devil
red-orange
red-purple
red salsa
red-violet
redwood
regalia
registration black
resolution blue
rhythm
rich black
rich brilliant lavender
rich carmine
rich electric blue
rich lavender
rich lilac
rich maroon
rifle green
roast coffee
robin egg blue
rocket metallic
roman silver
rose
rose bonbon
rose dust
rose ebony
rose gold
rose madder
rose pink
rose quartz
rose red
rose taupe
rose vale
rosewood
rosso corsa
rosy brown
royal azure
royal blue
royal blue
royal fuchsia
royal purple
royal yellow
ruber
rubine red
ruby
ruby red
ruddy
ruddy brown
ruddy pink
rufous
russet
russian green
russian violet
rust
rusty red
sacramento state green
saddle brown
safety orange
safety orange
safety yellow
saffron
sage
st. patrick's blue
salmon
salmon pink
sand
sand dune
sandstorm
sandy brown
sandy tan
sandy taupe
sangria
sap green
sapphire
sapphire blue
sasquatch socks
satin sheen gold
scarlet
scarlet
schauss pink
school bus yellow
screamin' green
sea blue
sea foam green
sea green
sea serpent
seal brown
seashell
selective yellow
sepia
shadow
shadow blue
shampoo
shamrock green
sheen green
shimmering blush
shiny shamrock
shocking pink
sienna
silver
silver chalice
silver lake blue
silver pink
silver sand
sinopia
sizzling red
sizzling sunrise
skobeloff
sky blue
sky magenta
slate blue
slate gray
smalt
slimy green
smashed pumpkin
smitten
smoke
smokey topaz
smoky black
smoky topaz
snow
soap
solid pink
sonic silver
spartan crimson
space cadet
spanish bistre
spanish blue
spanish carmine
spanish crimson
spanish gray
spanish green
spanish orange
spanish pink
spanish red
spanish sky blue
spanish violet
spanish viridian
spicy mix
spiro disco ball
spring bud
spring frost
spring green
star command blue
steel blue
steel pink
steel teal
stil de grain yellow
stizza
stormcloud
straw
strawberry
sugar plum
sunburnt cyclops
sunglow
sunny
sunray
sunset
sunset orange
super pink
sweet brown
tan
tangelo
tangerine
tangerine yellow
tango pink
tart orange
taupe
taupe gray
tea green
tea rose
tea rose
teal
teal blue
teal deer
teal green
telemagenta
tenné
terra cotta
thistle
thulian pink
tickle me pink
tiffany blue
tiger's eye
timberwolf
titanium yellow
tomato
toolbox
topaz
tractor red
trolley grey
tropical rain forest
tropical violet
true blue
tufts blue
tulip
tumbleweed
turkish rose
turquoise
turquoise blue
turquoise green
turquoise surf
turtle green
tuscan
tuscan brown
tuscan red
tuscan tan
tuscany
twilight lavender
tyrian purple
ua blue
ua red
ube
ucla blue
ucla gold
ufo green
ultramarine
ultramarine blue
ultra pink
ultra red
umber
unbleached silk
united nations blue
university of california gold
unmellow yellow
up forest green
up maroon
upsdell red
urobilin
usafa blue
usc cardinal
usc gold
university of tennessee orange
utah crimson
van dyke brown
vanilla
vanilla ice
vegas gold
venetian red
verdigris
vermilion
vermilion
veronica
very light azure
very light blue
very light malachite green
very light tangelo
very pale orange
very pale yellow
violet
violet
violet-blue
violet-red
viridian
viridian green
vista blue
vivid amber
vivid auburn
vivid burgundy
vivid cerise
vivid cerulean
vivid crimson
vivid gamboge
vivid lime green
vivid malachite
vivid mulberry
vivid orange
vivid orange peel
vivid orchid
vivid raspberry
vivid red
vivid red-tangelo
vivid sky blue
vivid tangelo
vivid tangerine
vivid vermilion
vivid violet
vivid yellow
volt
wageningen green
warm black
waterspout
weldon blue
wenge
wheat
white
white smoke
wild blue yonder
wild orchid
wild strawberry
wild watermelon
willpower orange
windsor tan
wine
wine dregs
winter sky
winter wizard
wintergreen dream
wisteria
wood brown
xanadu
yale blue
yankees blue
yellow
yellow-green
yellow orange
yellow rose
yellow sunshine
zaffre
zinnwaldite brown
zomp
